id,name,address,age,job
1,Lorne G,"3630 William Avenue, Miami, FL 33133",41,QA Engineer
2,Janet Hill,"465 NE 26th Street Miami, FL 33136",23,Lawyer
3,Sam Privit,"2215 E 38th Ave, Denver, CO 80205 ",40,Farmer
4,Lottie Downey,"3401 NE 38th Ave, Aventura, FL 33180",71,Principal
5,Roy Allen,"4555 Las Vegas Blvd N, Las Vegas, NV 89115-0558",10,Musician
6,Tom Brady,123 Gillette stadium,40,Quarter Back
7,Sri Chill,2011 AMARYLLIS CIR,41,qa
8,Stephen Curry,211 Oracle Arena,28,Point Guard
9,Julio Jones,2012 New Orleans,34,Wide Receiver
10,Rob Gronk,123 Patriots,24,Tight End
11,Ronak Gavandi,64 Woodbridge Terrace,31,SQA Engineer
12,Gary Kirsten,101 Wood Ave South,44,Coach
13,Adam Gilchrist,34 Perth Dr,41,Sportsman
14,Jimmy Anderson,90A Oval Blvd,34,Manager
15,Stephen Fleming,11 New Ln,39,Web Designer
16,JF Nepton,"198 Junipero Serra Blvd, Stanford, CA 94305",34,Sales Clerk
17,Emily Rose,"3111 Mission College Blvd, Santa Clara, CA 95054",34,Janitor
18,Jennifer Brown,"2700 Alexandra Dr, El Dorado Hills, CA 95762",34,Councilor
19,Curtis Ruffles,"150 W San Carlos St, San Jose, CA 95113",34,Instructor
20,Buddy Anderson,"2222 Francisco Dr #510, El Dorado Hills, CA 95762",34,Coach
